strains,type_ref,match_per,typing,tree_name,
SRR7800474,DCC1,0.9779,DCC1,DCC1,1
ERR459882,DCC3,0.9779,DCC3,DCC3,1
ERR460067,DCC3,0.9779,DCC3,DCC3,1
DRR317387,eDCC12,0.978,eDCC12,eDCC12,1
SRR14719137,DCC3,0.9781,DCC3,DCC3,1
ERR5384808,eDCC31,0.9782,eDCC31,eDCC31,1
SRR6388708,DCC2,0.9783,DCC2,DCC2,1
SRR14719275,DCC3,0.9783,DCC3,DCC3,1
ERR494849,DCC2,0.9788,DCC2,DCC2,1
SRR18969475,DCC3,0.979,DCC3,DCC3,1
ERR3198367,eDCC33,0.9791,eDCC33,eDCC33,1
SRR17774869,DCC3,0.9794,DCC3,DCC3,1
ERR369260,DCC3,0.9801,DCC3,DCC3,1
ERR373970,DCC7,0.9804,DCC7,DCC7,1
ERR374014,DCC7,0.9804,DCC7,DCC7,1
ERR459984,eDCC12,0.9805,eDCC12,eDCC12,1
ERR490697,eDCC12,0.9805,eDCC12,eDCC12,1
ERR494834,eDCC12,0.9805,eDCC12,eDCC12,1
ERR5384776,DCC5,0.9805,DCC5,DCC5,1
DRR317511,DCC1,0.9805,DCC1,DCC1,1
ERR119102,DCC4,0.9805,DCC4,DCC4,1
ERR330885,DCC3,0.9805,DCC3,DCC3,1
ERR340532,eDCC33,0.9806,eDCC33,eDCC33,1
ERR340534,eDCC33,0.9806,eDCC33,eDCC33,1
DRR245259,DCC3,0.981,DCC3,DCC3,1
ERR369309,DCC3,0.981,DCC3,DCC3,1
ERR115025,DCC4,0.9812,DCC4,DCC4,1
ERR369198,DCC3,0.9817,DCC3,DCC3,1
SRR315364,DCC3,0.9817,DCC3,DCC3,1
SRR315365,DCC3,0.9817,DCC3,DCC3,1
SRR14719144,DCC3,0.9821,DCC3,DCC3,1
SRR315266,DCC3,0.9821,DCC3,DCC3,1
SRR6045440,DCC3,0.9821,DCC3,DCC3,1
ERR5384809,DCC7,0.9821,DCC7,DCC7,1
ERR5384820,DCC7,0.9821,DCC7,DCC7,1
SRR14719282,eDCC12,0.9822,eDCC12,eDCC12,1
SRR14719314,DCC3,0.9823,DCC3,DCC3,1
ERR459871,eDCC31,0.9823,eDCC31,eDCC31,1
ERR5384806,DCC7,0.9823,DCC7,DCC7,1
ERR7253747,DCC7,0.9823,DCC7,DCC7,1
ERR340514,eDCC31,0.9824,eDCC31,eDCC31,1
ERR363311,eDCC31,0.9826,eDCC31,eDCC31,1
ERR374144,eDCC31,0.9827,eDCC31,eDCC31,1
ERR484973,DCC3,0.9828,DCC3,DCC3,1
ERR330825,eDCC31,0.9829,eDCC31,eDCC31,1
ERR3198383,DCC3,0.983,DCC3,DCC3,1
ERR363477,DCC3,0.983,DCC3,DCC3,1
ERR369303,DCC3,0.983,DCC3,DCC3,1
SRR19357809,DCC3,0.983,DCC3,DCC3,1
SRR19357811,DCC3,0.983,DCC3,DCC3,1
SRR19357824,DCC3,0.983,DCC3,DCC3,1
SRR19357827,DCC3,0.983,DCC3,DCC3,1
SRR6045687,DCC3,0.983,DCC3,DCC3,1
ERR490670,eDCC31,0.9831,eDCC31,eDCC31,1
DRR317419,DCC3,0.9832,DCC3,DCC3,1
DRR317480,DCC3,0.9832,DCC3,DCC3,1
ERR2759512,DCC3,0.9832,DCC3,DCC3,1
ERR330776,DCC3,0.9832,DCC3,DCC3,1
ERR343241,DCC3,0.9832,DCC3,DCC3,1
ERR363424,DCC3,0.9832,DCC3,DCC3,1
ERR494878,DCC3,0.9832,DCC3,DCC3,1
ERR494894,DCC3,0.9832,DCC3,DCC3,1
ERR7253722,DCC3,0.9832,DCC3,DCC3,1
ERR7253794,DCC3,0.9832,DCC3,DCC3,1
SRR12051567,DCC3,0.9832,DCC3,DCC3,1
SRR12051589,DCC3,0.9832,DCC3,DCC3,1
SRR14719306,DCC3,0.9832,DCC3,DCC3,1
SRR6045007,DCC3,0.9832,DCC3,DCC3,1
SRR6046856,DCC3,0.9832,DCC3,DCC3,1
SRR6388695,DCC3,0.9832,DCC3,DCC3,1
DRR245167,DCC3,0.9835,DCC3,DCC3,1
DRR317407,DCC3,0.9835,DCC3,DCC3,1
DRR317469,DCC3,0.9835,DCC3,DCC3,1
DRR317472,DCC3,0.9835,DCC3,DCC3,1
DRR317485,DCC3,0.9835,DCC3,DCC3,1
DRR317582,DCC3,0.9835,DCC3,DCC3,1
ERR337864,DCC3,0.9835,DCC3,DCC3,1
ERR363262,DCC3,0.9835,DCC3,DCC3,1
ERR374112,DCC3,0.9835,DCC3,DCC3,1
ERR484972,DCC3,0.9835,DCC3,DCC3,1
ERR494865,DCC3,0.9835,DCC3,DCC3,1
ERR494873,DCC3,0.9835,DCC3,DCC3,1
ERR494882,DCC3,0.9835,DCC3,DCC3,1
ERR494910,DCC3,0.9835,DCC3,DCC3,1
SRR12051590,DCC3,0.9835,DCC3,DCC3,1
SRR14719217,DCC3,0.9835,DCC3,DCC3,1
SRR14719245,DCC3,0.9835,DCC3,DCC3,1
SRR14719261,DCC3,0.9835,DCC3,DCC3,1
SRR18969474,DCC3,0.9835,DCC3,DCC3,1
SRR18969490,DCC3,0.9835,DCC3,DCC3,1
SRR6045898,DCC3,0.9835,DCC3,DCC3,1
DRR317385,DCC3,0.9837,DCC3,DCC3,1
DRR317386,DCC3,0.9837,DCC3,DCC3,1
DRR317425,DCC3,0.9837,DCC3,DCC3,1
DRR317431,DCC3,0.9837,DCC3,DCC3,1
DRR317439,DCC3,0.9837,DCC3,DCC3,1
DRR317441,DCC3,0.9837,DCC3,DCC3,1
DRR317445,DCC3,0.9837,DCC3,DCC3,1
DRR317467,DCC3,0.9837,DCC3,DCC3,1
DRR317489,DCC3,0.9837,DCC3,DCC3,1
DRR317499,DCC3,0.9837,DCC3,DCC3,1
DRR317501,DCC3,0.9837,DCC3,DCC3,1
DRR317510,DCC3,0.9837,DCC3,DCC3,1
DRR317549,DCC3,0.9837,DCC3,DCC3,1
DRR317556,DCC3,0.9837,DCC3,DCC3,1
DRR317561,DCC3,0.9837,DCC3,DCC3,1
DRR317568,DCC3,0.9837,DCC3,DCC3,1
DRR317577,DCC3,0.9837,DCC3,DCC3,1
DRR317579,DCC3,0.9837,DCC3,DCC3,1
DRR317587,DCC3,0.9837,DCC3,DCC3,1
DRR317601,DCC3,0.9837,DCC3,DCC3,1
DRR317609,DCC3,0.9837,DCC3,DCC3,1
ERR1413197,DCC3,0.9837,DCC3,DCC3,1
ERR3198410,DCC3,0.9837,DCC3,DCC3,1
ERR3198411,DCC3,0.9837,DCC3,DCC3,1
ERR373992,DCC3,0.9837,DCC3,DCC3,1
ERR4020051,DCC3,0.9837,DCC3,DCC3,1
ERR4020053,DCC3,0.9837,DCC3,DCC3,1
ERR567876,DCC3,0.9837,DCC3,DCC3,1
ERR567877,DCC3,0.9837,DCC3,DCC3,1
ERR7253760,DCC3,0.9837,DCC3,DCC3,1
ERR7253803,DCC3,0.9837,DCC3,DCC3,1
ERR8266577,DCC3,0.9837,DCC3,DCC3,1
ERR8266578,DCC3,0.9837,DCC3,DCC3,1
ERR8266579,DCC3,0.9837,DCC3,DCC3,1
ERR8266580,DCC3,0.9837,DCC3,DCC3,1
ERR8266582,DCC3,0.9837,DCC3,DCC3,1
ERR8266583,DCC3,0.9837,DCC3,DCC3,1
ERR8266584,DCC3,0.9837,DCC3,DCC3,1
ERR8266585,DCC3,0.9837,DCC3,DCC3,1
SRR12051568,DCC3,0.9837,DCC3,DCC3,1
SRR12051569,DCC3,0.9837,DCC3,DCC3,1
SRR12051595,DCC3,0.9837,DCC3,DCC3,1
SRR12574865,DCC3,0.9837,DCC3,DCC3,1
SRR12574866,DCC3,0.9837,DCC3,DCC3,1
SRR14043022,DCC3,0.9837,DCC3,DCC3,1
SRR14043034,DCC3,0.9837,DCC3,DCC3,1
SRR14043040,DCC3,0.9837,DCC3,DCC3,1
SRR14043042,DCC3,0.9837,DCC3,DCC3,1
SRR14043046,DCC3,0.9837,DCC3,DCC3,1
SRR14043051,DCC3,0.9837,DCC3,DCC3,1
SRR14043058,DCC3,0.9837,DCC3,DCC3,1
SRR14719112,DCC3,0.9837,DCC3,DCC3,1
SRR14719130,DCC3,0.9837,DCC3,DCC3,1
SRR14719136,DCC3,0.9837,DCC3,DCC3,1
SRR14719151,DCC3,0.9837,DCC3,DCC3,1
SRR14719159,DCC3,0.9837,DCC3,DCC3,1
SRR14719170,DCC3,0.9837,DCC3,DCC3,1
SRR14719172,DCC3,0.9837,DCC3,DCC3,1
SRR14719173,DCC3,0.9837,DCC3,DCC3,1
SRR14719199,DCC3,0.9837,DCC3,DCC3,1
SRR14719200,DCC3,0.9837,DCC3,DCC3,1
SRR14719224,DCC3,0.9837,DCC3,DCC3,1
SRR14719229,DCC3,0.9837,DCC3,DCC3,1
SRR14719238,DCC3,0.9837,DCC3,DCC3,1
SRR14719246,DCC3,0.9837,DCC3,DCC3,1
SRR14719248,DCC3,0.9837,DCC3,DCC3,1
SRR14719249,DCC3,0.9837,DCC3,DCC3,1
SRR14719280,DCC3,0.9837,DCC3,DCC3,1
SRR14719283,DCC3,0.9837,DCC3,DCC3,1
SRR14719288,DCC3,0.9837,DCC3,DCC3,1
SRR14719300,DCC3,0.9837,DCC3,DCC3,1
SRR14719302,DCC3,0.9837,DCC3,DCC3,1
SRR14719303,DCC3,0.9837,DCC3,DCC3,1
SRR14719308,DCC3,0.9837,DCC3,DCC3,1
SRR14719309,DCC3,0.9837,DCC3,DCC3,1
SRR17774873,DCC3,0.9837,DCC3,DCC3,1
SRR17774878,DCC3,0.9837,DCC3,DCC3,1
SRR17774880,DCC3,0.9837,DCC3,DCC3,1
SRR17774890,DCC3,0.9837,DCC3,DCC3,1
SRR17774901,DCC3,0.9837,DCC3,DCC3,1
SRR19357820,DCC3,0.9837,DCC3,DCC3,1
SRR6045725,DCC3,0.9837,DCC3,DCC3,1
SRR6045829,DCC3,0.9837,DCC3,DCC3,1
SRR6388769,DCC3,0.9837,DCC3,DCC3,1
ERR2759462,DCC4,0.9841,DCC4,DCC4,1
SRR19357812,DCC5,0.9841,DCC5,DCC5,1
ERR2524353,eDCC25,0.9843,eDCC25,eDCC25,1
SRR19357815,DCC5,0.9845,DCC5,DCC5,1
ERR374201,DCC2,0.9847,DCC2,DCC2,1
SRR7800481,eDCC31,0.9847,eDCC31,eDCC31,1
SRR7800423,DCC3,0.9848,DCC3,DCC3,1
SRR12051715,eDCC31,0.9848,eDCC31,eDCC31,1
SRR7800443,eDCC31,0.9848,eDCC31,eDCC31,1
SRR12051726,eDCC31,0.9849,eDCC31,eDCC31,1
SRR7800511,eDCC31,0.9849,eDCC31,eDCC31,1
DRR245238,DCC1,0.9851,DCC1,DCC1,1
ERR3198427,eDCC8,0.9852,eDCC8,eDCC8,1
ERR8266674,eDCC8,0.9852,eDCC8,eDCC8,1
SRR6046813,eDCC19,0.9852,eDCC19,eDCC19,1
ERR369264,eDCC23,0.9853,eDCC23,eDCC23,1
SRR7800467,eDCC31,0.9855,eDCC31,eDCC31,1
SRR7800528,eDCC31,0.9855,eDCC31,eDCC31,1
ERR363482,DCC7,0.9856,DCC7,DCC7,1
ERR363493,DCC7,0.9856,DCC7,DCC7,1
ERR373958,DCC7,0.9856,DCC7,DCC7,1
ERR373988,DCC7,0.9856,DCC7,DCC7,1
ERR374028,DCC7,0.9856,DCC7,DCC7,1
ERR374174,DCC7,0.9856,DCC7,DCC7,1
ERR7253742,DCC7,0.9856,DCC7,DCC7,1
SRR12051653,DCC7,0.9856,DCC7,DCC7,1
SRR12051820,DCC7,0.9856,DCC7,DCC7,1
SRR12574867,DCC7,0.9856,DCC7,DCC7,1
SRR12574869,DCC7,0.9856,DCC7,DCC7,1
SRR7800508,DCC7,0.9856,DCC7,DCC7,1
SRR7800510,DCC7,0.9856,DCC7,DCC7,1
ERR1413182,DCC7,0.9856,DCC7,DCC7,1
ERR1413193,DCC7,0.9856,DCC7,DCC7,1
ERR3198441,DCC7,0.9856,DCC7,DCC7,1
ERR3198442,DCC7,0.9856,DCC7,DCC7,1
ERR3198443,DCC7,0.9856,DCC7,DCC7,1
ERR3198444,DCC7,0.9856,DCC7,DCC7,1
ERR3198445,DCC7,0.9856,DCC7,DCC7,1
ERR3198446,DCC7,0.9856,DCC7,DCC7,1
ERR3198447,DCC7,0.9856,DCC7,DCC7,1
ERR3198448,DCC7,0.9856,DCC7,DCC7,1
ERR3198449,DCC7,0.9856,DCC7,DCC7,1
ERR330834,DCC7,0.9856,DCC7,DCC7,1
ERR340542,DCC7,0.9856,DCC7,DCC7,1
ERR349279,DCC7,0.9856,DCC7,DCC7,1
ERR349313,DCC7,0.9856,DCC7,DCC7,1
ERR4020087,DCC7,0.9856,DCC7,DCC7,1
ERR4020103,DCC7,0.9856,DCC7,DCC7,1
ERR4298313,DCC7,0.9856,DCC7,DCC7,1
ERR7253688,DCC7,0.9856,DCC7,DCC7,1
ERR7253741,DCC7,0.9856,DCC7,DCC7,1
ERR8266572,DCC7,0.9856,DCC7,DCC7,1
ERR8266573,DCC7,0.9856,DCC7,DCC7,1
SRR12051503,DCC7,0.9856,DCC7,DCC7,1
SRR12051522,DCC7,0.9856,DCC7,DCC7,1
SRR12051523,DCC7,0.9856,DCC7,DCC7,1
SRR12051524,DCC7,0.9856,DCC7,DCC7,1
SRR12051531,DCC7,0.9856,DCC7,DCC7,1
SRR12051543,DCC7,0.9856,DCC7,DCC7,1
SRR12051548,DCC7,0.9856,DCC7,DCC7,1
SRR12051559,DCC7,0.9856,DCC7,DCC7,1
SRR12051582,DCC7,0.9856,DCC7,DCC7,1
SRR12051633,DCC7,0.9856,DCC7,DCC7,1
SRR12051657,DCC7,0.9856,DCC7,DCC7,1
SRR12051691,DCC7,0.9856,DCC7,DCC7,1
SRR12051732,DCC7,0.9856,DCC7,DCC7,1
SRR12051737,DCC7,0.9856,DCC7,DCC7,1
SRR12051744,DCC7,0.9856,DCC7,DCC7,1
SRR12051770,DCC7,0.9856,DCC7,DCC7,1
SRR12051778,DCC7,0.9856,DCC7,DCC7,1
SRR12051783,DCC7,0.9856,DCC7,DCC7,1
SRR12051784,DCC7,0.9856,DCC7,DCC7,1
SRR12051789,DCC7,0.9856,DCC7,DCC7,1
SRR12051809,DCC7,0.9856,DCC7,DCC7,1
SRR12051825,DCC7,0.9856,DCC7,DCC7,1
SRR12051841,DCC7,0.9856,DCC7,DCC7,1
SRR12051844,DCC7,0.9856,DCC7,DCC7,1
SRR12051868,DCC7,0.9856,DCC7,DCC7,1
SRR12574846,DCC7,0.9856,DCC7,DCC7,1
SRR12574858,DCC7,0.9856,DCC7,DCC7,1
SRR12574861,DCC7,0.9856,DCC7,DCC7,1
SRR12574870,DCC7,0.9856,DCC7,DCC7,1
SRR3321827,DCC7,0.9856,DCC7,DCC7,1
SRR5483258,DCC7,0.9856,DCC7,DCC7,1
SRR5483261,DCC7,0.9856,DCC7,DCC7,1
SRR5483262,DCC7,0.9856,DCC7,DCC7,1
SRR5483263,DCC7,0.9856,DCC7,DCC7,1
SRR5483266,DCC7,0.9856,DCC7,DCC7,1
SRR7800416,DCC7,0.9856,DCC7,DCC7,1
SRR7800417,DCC7,0.9856,DCC7,DCC7,1
SRR7800420,DCC7,0.9856,DCC7,DCC7,1
SRR7800424,DCC7,0.9856,DCC7,DCC7,1
SRR7800425,DCC7,0.9856,DCC7,DCC7,1
SRR7800504,DCC7,0.9856,DCC7,DCC7,1
SRR7800724,DCC7,0.9856,DCC7,DCC7,1
SRR7800725,DCC7,0.9856,DCC7,DCC7,1
SRR7800726,DCC7,0.9856,DCC7,DCC7,1
ERR373981,DCC7,0.9856,DCC7,DCC7,1
ERR374181,DCC7,0.9856,DCC7,DCC7,1
ERR4298321,DCC7,0.9856,DCC7,DCC7,1
ERR7253696,DCC7,0.9856,DCC7,DCC7,1
SRR19357813,DCC7,0.9856,DCC7,DCC7,1
SRR6045506,DCC7,0.9856,DCC7,DCC7,1
SRR7800729,DCC7,0.9856,DCC7,DCC7,1
ERR340551,DCC7,0.9856,DCC7,DCC7,1
ERR374011,DCC7,0.9856,DCC7,DCC7,1
ERR459798,DCC7,0.9856,DCC7,DCC7,1
ERR340544,DCC7,0.9856,DCC7,DCC7,1
ERR374172,DCC7,0.9856,DCC7,DCC7,1
ERR459968,DCC7,0.9856,DCC7,DCC7,1
ERR363320,DCC7,0.9856,DCC7,DCC7,1
DRR245215,DCC7,0.9856,DCC7,DCC7,1
ERR363480,DCC7,0.9856,DCC7,DCC7,1
ERR363427,DCC7,0.9856,DCC7,DCC7,1
ERR7253713,DCC7,0.9856,DCC7,DCC7,1
SRR7800466,eDCC31,0.9856,eDCC31,eDCC31,1
SRR7800483,eDCC31,0.9856,eDCC31,eDCC31,1
SRR7800601,eDCC31,0.9856,eDCC31,eDCC31,1
SRR14719156,eDCC31,0.9858,eDCC31,eDCC31,1
DRR317541,eDCC9,0.9859,eDCC9,eDCC9,1
SRR15713776,eDCC9,0.9859,eDCC9,eDCC9,1
SRR14043056,eDCC9,0.9859,eDCC9,eDCC9,1
SRR14043055,eDCC9,0.9859,eDCC9,eDCC9,1
ERR4326532,eDCC9,0.9859,eDCC9,eDCC9,1
ERR2759447,eDCC9,0.9859,eDCC9,eDCC9,1
ERR374166,eDCC9,0.9859,eDCC9,eDCC9,1
ERR7253813,eDCC9,0.9859,eDCC9,eDCC9,1
ERR340536,eDCC9,0.9859,eDCC9,eDCC9,1
ERR337840,DCC2,0.9859,DCC2,DCC2,1
ERR369279,DCC2,0.9859,DCC2,DCC2,1
ERR114988,DCC3,0.9859,DCC3,DCC3,1
ERR369290,DCC3,0.9859,DCC3,DCC3,1
ERR340570,DCC2,0.9862,DCC2,DCC2,1
ERR1413187,eDCC8,0.9863,eDCC8,eDCC8,1
ERR363261,DCC5,0.9863,DCC5,DCC5,1
SRR14719157,DCC4,0.9863,DCC4,DCC4,1
ERR8266673,eDCC8,0.9863,eDCC8,eDCC8,1
ERR330775,DCC5,0.9863,DCC5,DCC5,1
ERR5384768,DCC5,0.9863,DCC5,DCC5,1
SRR6388763,DCC1,0.9863,DCC1,DCC1,1
ERR330824,eDCC12,0.9863,eDCC12,eDCC12,1
ERR363310,eDCC12,0.9863,eDCC12,eDCC12,1
ERR369217,eDCC22,0.9863,eDCC22,eDCC22,1
SRR14719121,eDCC22,0.9863,eDCC22,eDCC22,1
SRR14719188,eDCC22,0.9863,eDCC22,eDCC22,1
SRR14719190,eDCC22,0.9863,eDCC22,eDCC22,1
SRR14719191,eDCC22,0.9863,eDCC22,eDCC22,1
SRR14719247,eDCC22,0.9863,eDCC22,eDCC22,1
ERR114981,DCC3,0.9864,DCC3,DCC3,1
ERR337870,DCC3,0.9864,DCC3,DCC3,1
SRR14719207,DCC3,0.9864,DCC3,DCC3,1
ERR494912,DCC2,0.9866,DCC2,DCC2,1
ERR115099,DCC3,0.9866,DCC3,DCC3,1
ERR330903,DCC3,0.9866,DCC3,DCC3,1
ERR119090,DCC3,0.9868,DCC3,DCC3,1
ERR4326495,eDCC32,0.9868,eDCC32,eDCC32,1
ERR5384775,eDCC9,0.987,eDCC9,eDCC9,1
ERR119091,DCC3,0.987,DCC3,DCC3,1
ERR337851,DCC3,0.987,DCC3,DCC3,1
ERR369292,DCC3,0.987,DCC3,DCC3,1
SRR6046449,DCC7,0.9871,DCC7,DCC7,1
SRR6046896,DCC7,0.9871,DCC7,DCC7,1
ERR1081307,DCC2,0.9872,DCC2,DCC2,1
ERR337825,eDCC23,0.9872,eDCC23,eDCC23,1
ERR369238,DCC3,0.9873,DCC3,DCC3,1
SRR14719106,DCC6,0.9873,DCC6,DCC6,1
ERR340558,DCC7,0.9874,DCC7,DCC7,1
ERR374188,DCC7,0.9874,DCC7,DCC7,1
SRR19357828,eDCC33,0.9874,eDCC33,eDCC33,1
ERR330863,DCC3,0.9875,DCC3,DCC3,1
ERR114989,DCC3,0.9877,DCC3,DCC3,1
ERR115084,DCC3,0.9877,DCC3,DCC3,1
ERR4326496,eDCC32,0.9877,eDCC32,eDCC32,1
SRR14719181,eDCC31,0.9878,eDCC31,eDCC31,1
ERR114973,DCC3,0.9879,DCC3,DCC3,1
ERR115001,DCC3,0.9879,DCC3,DCC3,1
ERR337853,DCC3,0.9879,DCC3,DCC3,1
ERR459894,DCC3,0.9879,DCC3,DCC3,1
ERR2524303,DCC1,0.988,DCC1,DCC1,1
ERR114970,DCC3,0.9882,DCC3,DCC3,1
ERR114971,DCC3,0.9882,DCC3,DCC3,1
ERR114990,DCC3,0.9882,DCC3,DCC3,1
ERR114991,DCC3,0.9882,DCC3,DCC3,1
ERR115053,DCC3,0.9882,DCC3,DCC3,1
ERR115093,DCC3,0.9882,DCC3,DCC3,1
ERR114980,DCC3,0.9884,DCC3,DCC3,1
ERR115009,DCC3,0.9884,DCC3,DCC3,1
ERR115016,DCC3,0.9884,DCC3,DCC3,1
ERR115065,DCC3,0.9884,DCC3,DCC3,1
ERR115074,DCC3,0.9884,DCC3,DCC3,1
ERR115085,DCC3,0.9884,DCC3,DCC3,1
ERR119094,DCC3,0.9884,DCC3,DCC3,1
ERR459887,DCC3,0.9884,DCC3,DCC3,1
ERR363485,eDCC25,0.9885,eDCC25,eDCC25,1
ERR473267,DCC4,0.9886,DCC4,DCC4,1
ERR114982,DCC3,0.9886,DCC3,DCC3,1
ERR114995,DCC3,0.9886,DCC3,DCC3,1
ERR114998,DCC3,0.9886,DCC3,DCC3,1
ERR115086,DCC3,0.9886,DCC3,DCC3,1
ERR337821,DCC3,0.9886,DCC3,DCC3,1
ERR459872,DCC3,0.9886,DCC3,DCC3,1
ERR459885,DCC3,0.9886,DCC3,DCC3,1
ERR459886,DCC3,0.9886,DCC3,DCC3,1
ERR460072,DCC3,0.9886,DCC3,DCC3,1
ERR115062,DCC3,0.9888,DCC3,DCC3,1
ERR119092,DCC3,0.9888,DCC3,DCC3,1
ERR459890,DCC3,0.9888,DCC3,DCC3,1
SRR6046274,DCC2,0.989,DCC2,DCC2,1
ERR115061,DCC3,0.989,DCC3,DCC3,1
ERR115098,DCC3,0.989,DCC3,DCC3,1
ERR459897,DCC3,0.989,DCC3,DCC3,1
ERR337897,eDCC11,0.9891,eDCC11,eDCC11,1
ERR363414,eDCC11,0.9891,eDCC11,eDCC11,1
SRR12051680,eDCC11,0.9891,eDCC11,eDCC11,1
ERR115015,DCC3,0.9893,DCC3,DCC3,1
SRR17774898,DCC3,0.9893,DCC3,DCC3,1
SRR12051592,eDCC10,0.9894,eDCC10,eDCC10,1
ERR114992,DCC3,0.9895,DCC3,DCC3,1
ERR115014,DCC3,0.9895,DCC3,DCC3,1
ERR363461,eDCC24,0.9896,eDCC24,eDCC24,1
SRR14719167,eDCC31,0.9897,eDCC31,eDCC31,1
SRR12051616,eDCC10,0.9899,eDCC10,eDCC10,1
DRR317393,DCC3,0.9899,DCC3,DCC3,1
ERR3142875,DCC3,0.9899,DCC3,DCC3,1
ERR3142876,DCC3,0.9899,DCC3,DCC3,1
ERR2759531,eDCC25,0.99,eDCC25,eDCC25,1
ERR349323,eDCC11,0.99,eDCC11,eDCC11,1
ERR369272,eDCC11,0.99,eDCC11,eDCC11,1
ERR484961,DCC1,0.99,DCC1,DCC1,1
ERR374165,DCC1,0.9903,DCC1,DCC1,1
ERR494959,DCC5,0.9903,DCC5,DCC5,1
SRR12051541,eDCC10,0.9904,eDCC10,eDCC10,1
SRR7800490,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800491,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800493,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800524,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800634,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800635,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800636,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800637,eDCC13,0.9906,eDCC13,eDCC13,1
SRR7800638,eDCC13,0.9906,eDCC13,eDCC13,1
